Country,Avg sun hrs per year
Namibia,3737.5
Egypt,3710.68
Sudan,3559.55
United ArabEmirates,3508.7
Oman,3493.3
Botswana,3426.666667
Eritrea,3361
Chad,3353.2
Mauritania,3332.5
Cyprus,3314.1
Israel,3311
Djibouti,3279
Algeria,3266.5
Iraq,3240.8
Saudi Arabia,3236.5
Burkina Faso,3209
Niger,3203.2
Libya,3178.1
Afghanistan,3175.1
Morocco,3155.466667
Senegal,3146
South Africa,3141.316667
Pakistan,3108.516667
Somalia,3103
Mali,3099.866667
Gambia,3070
Zimbabwe,3065.4
Malta,3054
Tunisia,3049.95
Tanzania,3032.85
Kenya,3030.125
Australia,2975.426667
Zambia,2965.466667
Puerto Rico,2963.8
El Salvador,2957
Lebanon,2944
Iran,2924.541667
Venezuela,2895.3
Madagascar,2864.433333
Chile,2841.78
South Sudan,2841.3
Mozambique,2838
Spain,2832.5
United States,2827.618519
Uzbekistan,2823.9
Paraguay,2803
Malawi,2795.866667
Mongolia,2791.5
Ethiopia,2784.85
Greece,2773
Portugal,2770
Nicaragua,2759.9
Guinea-Bissau,2707
Nigeria,2669.08
Benin,2630.466667
Mexico,2596.25
Togo,2579.95
Monaco,2575
Central African Republic,2546.5
Albania,2544
Indonesia,2521.65
India,2517.02
North Korea,2492
Uruguay,2481.4
Montenegro,2481
Armenia,2474
Papua New Guinea,2463
Guyana,2460.6
Guinea,2440
Kazakhstan,2431.5
Burundi,2373.4
Italy,2372.25
Ghana,2367.5
Angola,2341
North Macedonia,2339
Turkey,2333.8
Solomon Islands,2330
Ivory Coast,2321.32
France,2315.125
Uganda,2304
Bolivia,2288.9
Peru,2281.65
Croatia,2272
Honduras,2259.8
Brazil,2237.581818
Democratic Republic of the Congo,2225
Argentina,2220.3
Azerbaijan,2207.4
South Korea,2196.65
Bulgaria,2177
Thailand,2175.025
Cameroon,2165.125
Moldova,2126
Vietnam,2123.5
Romania,2115
Philippines,2103.1
Bangladesh,2066
Serbia,2055
Georgia,2046
Slovakia,2038
China,2028.58
Canada,2028.044444
Singapore,2022.4
Poland,1997
Estonia,1994.5
Hungary,1988
French Guiana,1976
Slovenia,1974
Russia,1972.7875
New Zealand,1967.06
Ukraine,1955
Switzerland,1932.75
Denmark,1932
Colombia,1930.775
Fiji,1922
Ecuador,1909.55
Taiwan,1886.866667
Austria,1884
Finland,1858
Japan,1837.12
Belarus,1807
Sweden,1782.5
Bosnia and Herzegovina,1769
Latvia,1754
Panama,1743.5
Gabon,1720.2
Congo,1698.666667
Lithuania,1691
Czech Republic,1668
Netherlands,1662
Falkland Islands,1651
Germany,1644
Luxembourg,1634
Equatorial Guinea,1548.95
Belgium,1546
Ireland,1453
United Kingdom,1441.666667
Saint Pierreand Miquelon,1427.3
Norway,1373.333333
Iceland,1326
Faroe Islands,840
