feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Addicted_Score,10.091391885818428,4374.310600290212,24134.361341414973,0.0,inf
Sleep_Hours_Per_Night,-3.3885877182601707,1915.9498125727798,0.03375631668090982,0.0,inf
Mental_Health_Score,-25.22170861795961,3344.348432522801,1.1126309154845115e-11,0.0,inf
Age,-2.3004126316088978,2114.8702616647774,0.10021748228891654,0.0,inf
Conflicts_Over_Social_Media,35.57129816741853,2453.603301581936,2808138399465320.5,0.0,inf
Gender=Male,-2.3764552008521704,3191.801499004706,0.09287923288312981,0.0,inf
Academic_Level=High School,-71.15956658351767,8460.18695942149,1.24678881673629e-31,0.0,inf
Academic_Level=Undergraduate,-6.292725145943946,4651.998622686498,0.001849712336171035,0.0,inf
Relationship_Status=In Relationship,27.95089376381217,5889.345754751671,1376952395367.6895,0.0,inf
Relationship_Status=Single,29.351115188943254,5835.991563994386,5585053842415.964,0.0,inf
Most_Used_Platform=Instagram,2.663915595642676,3259.057418455235,14.352377323722093,0.0,inf
Most_Used_Platform=LinkedIn,31.945541184746077,7812.915875011491,74777726667858.62,0.0,inf
Most_Used_Platform=Other,-0.7586905478284094,4335.578835975263,0.4682792149490257,0.0,inf
Most_Used_Platform=TikTok,3.1091531340442318,3782.39129074705,22.402064819265608,0.0,inf
Most_Used_Platform=Twitter,-2.7878567954950975,6294.1936893526345,0.06155299330200515,0.0,inf
Most_Used_Platform=WhatsApp,-29.95418151840774,5071.037033089738,9.796349178951415e-14,0.0,inf
