feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Avg_Daily_Usage_Hours,-9.854835632151415,2338.3022031590385,5.2492742702951906e-05,0.0,inf
Addicted_Score,28.569380235131447,4110.376634772727,2555784238456.666,0.0,inf
Sleep_Hours_Per_Night,-4.237562757133783,2018.5058998192471,0.01444274946998552,0.0,inf
Mental_Health_Score,-9.13732543386472,3208.478127771011,0.00010757466064173907,0.0,inf
Age,-2.8529423217965104,2075.010766328671,0.05767437440992391,0.0,inf
Conflicts_Over_Social_Media,33.87548177920419,2558.3941115183716,515151309968650.8,0.0,inf
Gender=Male,-2.7467853306362486,2848.2093601765782,0.06413369881628547,0.0,inf
Academic_Level=High School,-65.65724428111484,8350.086892441193,3.0578847406649413e-29,0.0,inf
Academic_Level=Undergraduate,-7.9544334849085345,4273.246367524662,0.0003511021030536416,0.0,inf
Relationship_Status=In Relationship,23.34468054433453,5990.022898420428,13755169366.516996,0.0,inf
Relationship_Status=Single,21.283409302488955,5885.460903409267,1750923679.4935226,0.0,inf
Most_Used_Platform=Instagram,5.528147816464868,3296.601028513014,251.67732645654561,0.0,inf
Most_Used_Platform=LinkedIn,24.48440504980282,7775.235574710175,42997381257.747635,0.0,inf
Most_Used_Platform=Other,-2.6351610808400405,3980.0379831235505,0.07170741778714904,0.0,inf
Most_Used_Platform=TikTok,4.8287678400691245,3791.323875335654,125.05677573588666,0.0,inf
Most_Used_Platform=Twitter,8.897672515833422,6276.750528004398,7314.928330754925,0.0,inf
Most_Used_Platform=WhatsApp,-10.367240131392759,5244.653851640105,3.144595715559101e-05,0.0,inf
