feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Avg_Daily_Usage_Hours,-0.5072405712190768,2400.8197506393667,0.6021548919205355,0.0,inf
Sleep_Hours_Per_Night,-2.7114260732957822,1997.5958056319218,0.06644198797707829,0.0,inf
Mental_Health_Score,-37.33067149434897,2551.1017989611523,6.130492483150289e-17,0.0,inf
Age,-2.246082815900864,2106.1837774879923,0.10581290242558691,0.0,inf
Conflicts_Over_Social_Media,39.27429901221967,2251.52122533562,1.1392298128500435e+17,0.0,inf
Gender=Male,-0.6042152595393593,2789.3548271361556,0.5465031215219246,0.0,inf
Academic_Level=High School,-76.21924734169731,8282.100809499809,7.914098744678314e-34,0.0,inf
Academic_Level=Undergraduate,-3.5627517503962896,4362.712995692281,0.028360675739556036,0.0,inf
Relationship_Status=In Relationship,35.70229349597864,5981.548909773276,3201172346736341.5,0.0,inf
Relationship_Status=Single,35.23916745847641,5948.404420705055,2014540366787138.0,0.0,inf
Most_Used_Platform=Instagram,0.7030488644733923,3269.010011356326,2.019901735571915,0.0,inf
Most_Used_Platform=LinkedIn,35.83722474645533,7851.0960062751865,3663607623952008.5,0.0,inf
Most_Used_Platform=Other,1.9473677314983595,3812.839891471854,7.010210516628483,0.0,inf
Most_Used_Platform=TikTok,2.1839424117148676,3582.4422821994585,8.881250877925762,0.0,inf
Most_Used_Platform=Twitter,-4.649224547811659,6325.5164586621095,0.00956901937124821,0.0,inf
Most_Used_Platform=WhatsApp,-32.69684925124343,5379.706548567221,6.308684294678876e-15,0.0,inf
