feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Addicted_Score,10.117317402346263,4445.070832480946,24768.238416845743,0.0,inf
Sleep_Hours_Per_Night,-3.4293293116625185,1900.058514703217,0.03240866960219182,0.0,inf
Mental_Health_Score,-24.798789973540167,3375.4781357561205,1.698331076908373e-11,0.0,inf
Age,-2.279433941478623,2109.6853348205486,0.10234212195251133,0.0,inf
Conflicts_Over_Social_Media,35.18941229726829,2461.3012457401064,1916759313320617.2,0.0,inf
Gender=Male,-2.436246002289234,3295.2999855581943,0.08748866802517244,0.0,inf
Academic_Level=Undergraduate,-6.505635518353918,4744.975445180416,0.0014949903629404876,0.0,inf
Relationship_Status=In Relationship,27.751896556377616,6554.911524476895,1128484340110.0793,0.0,inf
Relationship_Status=Single,29.27279296188512,6516.851678812383,5164311775439.625,0.0,inf
Most_Used_Platform=Instagram,2.6534053614973256,3272.6160082712227,14.202320425409555,0.0,inf
Most_Used_Platform=LinkedIn,31.849334277520708,7874.499301053003,67918819532747.99,0.0,inf
Most_Used_Platform=Other,-0.7323576466593025,4454.501425330005,0.4807741572627045,0.0,inf
Most_Used_Platform=TikTok,3.1177357538778034,3873.2239837643883,22.59516067394527,0.0,inf
Most_Used_Platform=Twitter,-2.7047095535178953,6302.73506729724,0.06688974891774749,0.0,inf
Most_Used_Platform=WhatsApp,-30.03767454049857,5087.2501268896485,9.01163717380276e-14,0.0,inf
