feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Avg_Daily_Usage_Hours,-10.022737190872652,2368.9778639952156,4.437930987804464e-05,0.0,inf
Addicted_Score,28.384991905828173,4166.974788907238,2125422890560.4717,0.0,inf
Sleep_Hours_Per_Night,-4.227132184253473,2003.3021872104732,0.014594184022528333,0.0,inf
Mental_Health_Score,-8.881283840466475,3239.614823954163,0.00013896564127420998,0.0,inf
Age,-2.9244789694053765,2074.536803399371,0.05369266014458722,0.0,inf
Conflicts_Over_Social_Media,33.57102802173551,2574.7666254786177,379937553304482.06,0.0,inf
Gender=Male,-2.737430035364785,2929.751701853877,0.06473650381842676,0.0,inf
Academic_Level=Undergraduate,-8.14390838330283,4357.083809454887,0.000290499592826619,0.0,inf
Relationship_Status=In Relationship,23.71064555832997,6653.02589323153,19833644669.528572,0.0,inf
Relationship_Status=Single,21.659183724322546,6555.457670176859,2549552586.18019,0.0,inf
Most_Used_Platform=Instagram,5.486896155126509,3314.583977806279,241.50644379714876,0.0,inf
Most_Used_Platform=LinkedIn,24.93238670276399,7830.36573888456,67297350395.090965,0.0,inf
Most_Used_Platform=Other,-2.5534720657557055,4049.0569498414834,0.07781103142488476,0.0,inf
Most_Used_Platform=TikTok,4.783684557424088,3871.910097734479,119.54400633403857,0.0,inf
Most_Used_Platform=Twitter,9.101955224157216,6284.9971822756215,8972.819436873979,0.0,inf
Most_Used_Platform=WhatsApp,-10.290295294144185,5254.186129896527,3.396108342200275e-05,0.0,inf
