feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Avg_Daily_Usage_Hours,-0.5014743076281372,2439.2582937516872,0.6056371057828586,0.0,inf
Sleep_Hours_Per_Night,-2.716773388629235,1974.591141690659,0.06608764993891734,0.0,inf
Mental_Health_Score,-36.971343185714986,2545.6244063778286,8.781115021368212e-17,0.0,inf
Age,-2.2228467893872565,2092.3398886142795,0.1083003612447759,0.0,inf
Conflicts_Over_Social_Media,38.84859937513822,2259.8987584274605,7.442731266819586e+16,0.0,inf
Gender=Male,-0.5936342740144863,2852.572420532324,0.552316363820232,0.0,inf
Academic_Level=Undergraduate,-3.61207931402432,4437.7929358342335,0.026995656021228914,0.0,inf
Relationship_Status=In Relationship,35.60099298493028,6682.170457963749,2892775986399517.0,0.0,inf
Relationship_Status=Single,35.124274630392904,6675.193150619367,1795885536669235.0,0.0,inf
Most_Used_Platform=Instagram,0.6754292624595868,3280.649433681168,1.964876242574221,0.0,inf
Most_Used_Platform=LinkedIn,35.772357442802395,7891.015709972273,3433503086076220.0,0.0,inf
Most_Used_Platform=Other,1.979334210604292,3863.3151852612655,7.2379224485947855,0.0,inf
Most_Used_Platform=TikTok,2.1957572976113147,3620.972263801936,8.986804165833274,0.0,inf
Most_Used_Platform=Twitter,-4.606477315200205,6335.241737179267,0.009986937247091722,0.0,inf
Most_Used_Platform=WhatsApp,-32.69354296929959,5391.361943810063,6.329577103377335e-15,0.0,inf
