,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Age,Age,Age,Age,Age,Age,Age,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media
,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,6.117,1.128,2.1,7.5,6.4,5.2,7.1,6.091,1.033,4.6,8.8,5.8,5.5,6.3,5.453,1.03,4,8,5.0,5.0,6.0,7.509,1.154,3,9,8.0,7.0,8.0,20.981,1.101,19,24,21.0,20.0,22.0,3.528,1.085,0,5,4.0,3.0,4.0
USA,6.89,0.916,5.3,8.5,6.9,6.475,7.525,5.377,0.91,3.8,6.9,5.3,4.775,5.825,4.9,0.709,4,6,5.0,4.0,5.0,8.6,0.81,7,9,9.0,9.0,9.0,19.875,1.399,19,24,19.0,19.0,20.0,3.8,0.405,3,4,4.0,4.0,4.0
Canada,4.715,0.62,3.6,5.8,4.65,4.3,5.175,7.459,0.636,6.0,8.6,7.5,7.0,7.9,6.235,0.431,6,7,6.0,6.0,6.0,6.706,0.524,5,7,7.0,6.25,7.0,21.559,0.927,19,24,21.5,21.0,22.0,2.941,0.239,2,3,3.0,3.0,3.0
France,4.056,0.753,2.8,5.8,4.1,3.45,4.7,7.915,0.789,6.2,9.2,7.9,7.25,8.55,6.889,0.424,5,7,7.0,7.0,7.0,5.148,0.534,5,7,5.0,5.0,5.0,19.926,1.385,19,24,20.0,19.0,20.0,2.074,0.267,2,3,2.0,2.0,2.0
Mexico,6.422,0.439,5.6,7.3,6.4,6.2,6.65,5.874,0.486,4.9,6.6,6.1,5.5,6.2,5.667,0.48,5,6,6.0,5.0,6.0,7.37,0.565,7,9,7.0,7.0,8.0,21.259,1.196,18,24,21.0,21.0,22.0,3.333,0.48,3,4,3.0,3.0,4.0
Spain,5.004,1.053,3.5,6.6,4.8,4.15,6.2,7.119,0.786,5.8,8.4,7.2,6.25,7.75,5.704,0.465,5,6,6.0,5.0,6.0,7.296,0.465,7,8,7.0,7.0,8.0,20.296,1.54,19,24,20.0,19.0,20.0,3.259,0.526,2,4,3.0,3.0,4.0
Turkey,5.304,1.059,3.8,6.9,5.1,4.45,6.6,7.041,0.859,5.5,8.4,7.1,6.15,7.75,5.667,0.48,5,6,6.0,5.0,6.0,7.333,0.48,7,8,7.0,7.0,8.0,21.481,0.935,20,24,21.0,21.0,22.0,3.333,0.48,3,4,3.0,3.0,4.0
Ireland,4.648,0.965,3.2,6.1,4.5,3.85,5.75,7.385,0.841,5.2,8.7,7.4,6.7,8.05,6.63,0.565,5,7,7.0,6.0,7.0,6.444,0.751,6,9,6.0,6.0,7.0,20.037,1.48,19,24,20.0,19.0,20.0,3.074,0.267,3,4,3.0,3.0,3.0
Denmark,3.556,0.761,2.3,4.7,3.5,2.95,4.25,8.196,0.799,6.7,9.5,8.2,7.35,8.85,7.704,0.465,7,8,8.0,7.0,8.0,4.296,0.465,4,5,4.0,4.0,5.0,21.333,1.074,19,24,21.0,21.0,22.0,1.963,0.192,1,2,2.0,2.0,2.0
Switzerland,3.448,0.805,2.2,4.6,3.4,2.75,4.25,8.278,0.808,7.2,9.6,8.3,7.45,8.95,7.704,0.465,7,8,8.0,7.0,8.0,4.296,0.465,4,5,4.0,4.0,5.0,20.407,1.551,19,24,20.0,19.0,21.0,1.963,0.192,1,2,2.0,2.0,2.0
UK,5.473,0.802,3.0,6.4,5.55,5.025,6.175,6.518,0.242,6.2,7.0,6.45,6.325,6.675,5.682,0.568,5,7,6.0,5.0,6.0,7.227,0.869,4,8,7.0,7.0,8.0,21.0,0.976,18,23,21.0,21.0,21.0,3.273,0.703,1,4,3.0,3.0,4.0
Japan,3.695,0.598,2.7,4.5,3.7,3.2,4.3,7.938,0.596,6.5,8.9,7.9,7.5,8.4,7.952,0.218,7,8,8.0,8.0,8.0,3.476,0.602,3,5,3.0,3.0,4.0,19.714,1.648,18,24,19.0,19.0,19.0,1.381,0.498,1,2,1.0,1.0,2.0
Italy,4.99,0.592,2.8,5.7,5.1,4.8,5.3,6.976,0.23,6.5,7.3,7.1,6.8,7.2,5.952,1.071,5,8,5.0,5.0,7.0,6.381,1.396,4,8,7.0,5.0,8.0,21.476,1.123,20,24,21.0,21.0,22.0,2.524,0.602,1,3,3.0,2.0,3.0
Russia,5.19,1.318,3.7,6.9,4.6,4.1,6.7,7.014,0.929,5.9,8.3,7.3,6.0,7.8,5.905,1.446,4,7,7.0,4.0,7.0,6.429,1.886,5,9,5.0,5.0,9.0,21.571,1.207,19,24,22.0,21.0,22.0,3.048,1.396,2,5,2.0,2.0,5.0
Bangladesh,4.8,0.568,4.1,6.1,4.7,4.375,5.125,6.885,0.599,5.8,8.0,6.85,6.475,7.325,5.05,0.224,5,6,5.0,5.0,5.0,7.5,0.513,7,8,7.5,7.0,8.0,19.85,1.089,19,22,19.5,19.0,20.0,3.45,0.51,3,4,3.0,3.0,4.0
Maldives,4.589,0.569,3.4,5.4,4.7,4.3,4.95,6.268,1.537,4.1,8.6,5.8,5.0,7.7,6.842,1.015,6,8,6.0,6.0,8.0,6.684,1.493,5,8,8.0,5.0,8.0,20.895,0.937,19,22,21.0,20.5,21.5,3.105,0.994,2,4,4.0,2.0,4.0
Sri Lanka,4.811,0.704,2.6,5.9,4.9,4.55,5.15,6.868,1.391,4.7,8.9,7.2,5.6,8.0,6.632,0.597,6,8,7.0,6.0,7.0,5.789,1.084,4,7,5.0,5.0,7.0,20.053,1.268,19,23,20.0,19.0,20.0,2.368,0.597,1,3,2.0,2.0,3.0
Nepal,5.1,0.997,3.5,6.4,5.5,4.2,5.95,6.311,1.444,4.2,8.5,5.9,5.1,7.6,6.474,0.513,6,7,6.0,6.0,7.0,6.632,1.499,5,8,8.0,5.0,8.0,19.895,1.1,19,22,20.0,19.0,20.0,3.053,1.026,2,4,4.0,2.0,4.0
Pakistan,4.547,0.486,3.8,5.5,4.5,4.2,4.8,6.911,0.651,5.7,8.1,6.9,6.45,7.35,5.053,0.229,5,6,5.0,5.0,5.0,7.421,0.507,7,8,7.0,7.0,8.0,20.947,0.97,19,22,21.0,20.5,22.0,3.421,0.507,3,4,3.0,3.0,4.0
China,4.912,0.752,3.9,5.8,5.0,4.2,5.6,7.275,0.786,6.0,8.4,6.8,6.7,8.025,6.438,0.512,6,7,6.0,6.0,7.0,6.125,1.025,5,7,7.0,5.0,7.0,21.438,1.413,19,24,21.5,21.0,22.0,2.562,0.512,2,3,3.0,2.0,3.0
Poland,5.012,1.276,3.1,6.4,5.15,3.875,6.2,7.194,0.947,6.2,8.5,6.75,6.3,8.125,6.0,1.033,5,7,6.0,5.0,7.0,6.5,1.549,5,8,6.5,5.0,8.0,21.75,1.238,19,24,22.0,21.0,22.25,2.938,1.124,1,4,3.0,2.0,4.0
Germany,3.521,0.676,1.5,4.2,3.65,3.325,3.975,7.943,0.238,7.6,8.4,7.9,7.8,8.075,8.0,0.392,7,9,8.0,8.0,8.0,3.857,0.535,2,4,4.0,4.0,4.0,22.071,0.267,22,23,22.0,22.0,22.0,1.143,0.535,0,2,1.0,1.0,1.0
Australia,4.564,0.801,3.9,7.2,4.4,4.225,4.575,7.286,0.825,4.5,7.9,7.45,7.325,7.575,6.857,0.864,4,8,7.0,7.0,7.0,5.286,1.069,5,9,5.0,5.0,5.0,19.929,0.267,19,20,20.0,20.0,20.0,2.214,0.802,2,5,2.0,2.0,2.0
South Korea,4.615,0.505,3.3,5.2,4.7,4.4,5.0,7.046,0.345,6.5,7.6,7.0,6.8,7.3,6.077,0.277,6,7,6.0,6.0,6.0,5.846,0.555,4,6,6.0,6.0,6.0,20.077,0.277,20,21,20.0,20.0,20.0,2.846,0.555,1,3,3.0,3.0,3.0
UAE,6.725,0.292,6.2,7.1,6.75,6.575,6.925,6.062,0.437,5.1,6.5,6.15,5.975,6.325,5.0,0.0,5,5,5.0,5.0,5.0,8.125,0.354,8,9,8.0,8.0,8.0,19.5,0.535,19,20,19.5,19.0,20.0,4.0,0.0,4,4,4.0,4.0,4.0
Singapore,5.275,0.406,4.4,5.7,5.35,5.175,5.525,6.6,0.346,5.9,7.0,6.65,6.475,6.825,6.0,0.0,6,6,6.0,6.0,6.0,7.0,0.0,7,7,7.0,7.0,7.0,19.5,0.535,19,20,19.5,19.0,20.0,3.0,0.0,3,3,3.0,3.0,3.0
New Zealand,4.325,0.292,3.8,4.7,4.35,4.175,4.525,7.65,0.469,6.6,8.1,7.75,7.575,7.925,7.0,0.0,7,7,7.0,7.0,7.0,5.875,0.354,5,6,6.0,6.0,6.0,21.5,0.535,21,22,21.5,21.0,22.0,2.75,0.707,1,3,3.0,3.0,3.0
Brazil,5.888,0.203,5.6,6.2,5.85,5.775,6.025,6.525,0.292,6.0,6.9,6.55,6.375,6.725,6.0,0.0,6,6,6.0,6.0,6.0,7.125,0.354,7,8,7.0,7.0,7.0,19.5,0.535,19,20,19.5,19.0,20.0,2.875,0.354,2,3,3.0,3.0,3.0
Malaysia,5.35,1.288,2.2,6.1,5.75,5.575,5.925,6.612,0.376,6.2,7.4,6.55,6.375,6.725,6.25,0.707,6,8,6.0,6.0,6.0,6.5,1.414,3,7,7.0,7.0,7.0,21.75,1.035,21,24,21.5,21.0,22.0,2.625,1.061,0,3,3.0,3.0,3.0
Netherlands,3.65,0.469,3.2,4.7,3.55,3.375,3.725,8.175,0.941,5.9,8.8,8.45,8.275,8.625,7.75,0.707,6,8,8.0,8.0,8.0,4.375,1.061,4,7,4.0,4.0,4.0,19.625,0.518,19,20,20.0,19.0,20.0,2.125,0.354,2,3,2.0,2.0,2.0
Finland,4.475,0.392,4.1,5.4,4.4,4.3,4.425,7.25,0.635,5.7,7.7,7.4,7.4,7.5,6.75,0.707,5,7,7.0,7.0,7.0,5.375,1.061,5,8,5.0,5.0,5.0,21.125,1.246,20,23,21.0,20.0,21.5,2.25,0.707,2,4,2.0,2.0,2.0
Austria,4.9,,4.9,4.9,4.9,4.9,4.9,5.8,,5.8,5.8,5.8,5.8,5.8,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,19.0,,19,19,19.0,19.0,19.0,3.0,,3,3,3.0,3.0,3.0
Thailand,5.9,,5.9,5.9,5.9,5.9,5.9,5.3,,5.3,5.3,5.3,5.3,5.3,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,19.0,,19,19,19.0,19.0,19.0,4.0,,4,4,4.0,4.0,4.0
Philippines,4.8,,4.8,4.8,4.8,4.8,4.8,5.7,,5.7,5.7,5.7,5.7,5.7,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Taiwan,2.6,,2.6,2.6,2.6,2.6,2.6,7.2,,7.2,7.2,7.2,7.2,7.2,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,23.0,,23,23,23.0,23.0,23.0,1.0,,1,1,1.0,1.0,1.0
Indonesia,5.4,,5.4,5.4,5.4,5.4,5.4,5.4,,5.4,5.4,5.4,5.4,5.4,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Hong Kong,4.7,,4.7,4.7,4.7,4.7,4.7,5.8,,5.8,5.8,5.8,5.8,5.8,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,19.0,,19,19,19.0,19.0,19.0,3.0,,3,3,3.0,3.0,3.0
Israel,3.1,,3.1,3.1,3.1,3.1,3.1,6.8,,6.8,6.8,6.8,6.8,6.8,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,22.0,,22,22,22.0,22.0,22.0,1.0,,1,1,1.0,1.0,1.0
Egypt,3.9,,3.9,3.9,3.9,3.9,3.9,6.5,,6.5,6.5,6.5,6.5,6.5,7.0,,7,7,7.0,7.0,7.0,6.0,,6,6,6.0,6.0,6.0,21.0,,21,21,21.0,21.0,21.0,2.0,,2,2,2.0,2.0,2.0
Morocco,4.5,,4.5,4.5,4.5,4.5,4.5,5.8,,5.8,5.8,5.8,5.8,5.8,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Vietnam,3.6,,3.6,3.6,3.6,3.6,3.6,6.7,,6.7,6.7,6.7,6.7,6.7,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,21.0,,21,21,21.0,21.0,21.0,1.0,,1,1,1.0,1.0,1.0
Belgium,5.3,,5.3,5.3,5.3,5.3,5.3,5.5,,5.5,5.5,5.5,5.5,5.5,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Greece,3.2,,3.2,3.2,3.2,3.2,3.2,6.9,,6.9,6.9,6.9,6.9,6.9,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,22.0,,22,22,22.0,22.0,22.0,2.0,,2,2,2.0,2.0,2.0
Portugal,5.7,,5.7,5.7,5.7,5.7,5.7,5.4,,5.4,5.4,5.4,5.4,5.4,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,20.0,,20,20,20.0,20.0,20.0,4.0,,4,4,4.0,4.0,4.0
Sweden,2.0,,2.0,2.0,2.0,2.0,2.0,7.8,,7.8,7.8,7.8,7.8,7.8,8.0,,8,8,8.0,8.0,8.0,3.0,,3,3,3.0,3.0,3.0,24.0,,24,24,24.0,24.0,24.0,0.0,,0,0,0.0,0.0,0.0
Norway,5.0,,5.0,5.0,5.0,5.0,5.0,5.7,,5.7,5.7,5.7,5.7,5.7,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,19.0,,19,19,19.0,19.0,19.0,3.0,,3,3,3.0,3.0,3.0
Chile,2.7,,2.7,2.7,2.7,2.7,2.7,7.1,,7.1,7.1,7.1,7.1,7.1,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,23.0,,23,23,23.0,23.0,23.0,1.0,,1,1,1.0,1.0,1.0
Argentina,5.5,,5.5,5.5,5.5,5.5,5.5,5.3,,5.3,5.3,5.3,5.3,5.3,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Ghana,4.6,,4.6,4.6,4.6,4.6,4.6,5.7,,5.7,5.7,5.7,5.7,5.7,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Kenya,3.7,,3.7,3.7,3.7,3.7,3.7,6.6,,6.6,6.6,6.6,6.6,6.6,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,21.0,,21,21,21.0,21.0,21.0,2.0,,2,2,2.0,2.0,2.0
Nigeria,5.8,,5.8,5.8,5.8,5.8,5.8,5.4,,5.4,5.4,5.4,5.4,5.4,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,19.0,,19,19,19.0,19.0,19.0,4.0,,4,4,4.0,4.0,4.0
South Africa,2.3,,2.3,2.3,2.3,2.3,2.3,7.3,,7.3,7.3,7.3,7.3,7.3,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,24.0,,24,24,24.0,24.0,24.0,1.0,,1,1,1.0,1.0,1.0
Colombia,4.8,,4.8,4.8,4.8,4.8,4.8,5.9,,5.9,5.9,5.9,5.9,5.9,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,19.0,,19,19,19.0,19.0,19.0,3.0,,3,3,3.0,3.0,3.0
Peru,5.5,,5.5,5.5,5.5,5.5,5.5,5.6,,5.6,5.6,5.6,5.6,5.6,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,20.0,,20,20,20.0,20.0,20.0,4.0,,4,4,4.0,4.0,4.0
Costa Rica,5.7,,5.7,5.7,5.7,5.7,5.7,5.5,,5.5,5.5,5.5,5.5,5.5,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,19.0,,19,19,19.0,19.0,19.0,4.0,,4,4,4.0,4.0,4.0
Bolivia,2.4,,2.4,2.4,2.4,2.4,2.4,7.2,,7.2,7.2,7.2,7.2,7.2,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,24.0,,24,24,24.0,24.0,24.0,1.0,,1,1,1.0,1.0,1.0
Panama,3.6,,3.6,3.6,3.6,3.6,3.6,6.5,,6.5,6.5,6.5,6.5,6.5,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,21.0,,21,21,21.0,21.0,21.0,2.0,,2,2,2.0,2.0,2.0
Jamaica,4.9,,4.9,4.9,4.9,4.9,4.9,5.6,,5.6,5.6,5.6,5.6,5.6,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Uruguay,3.8,,3.8,3.8,3.8,3.8,3.8,6.4,,6.4,6.4,6.4,6.4,6.4,7.0,,7,7,7.0,7.0,7.0,6.0,,6,6,6.0,6.0,6.0,21.0,,21,21,21.0,21.0,21.0,2.0,,2,2,2.0,2.0,2.0
Paraguay,4.7,,4.7,4.7,4.7,4.7,4.7,5.8,,5.8,5.8,5.8,5.8,5.8,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Venezuela,3.3,,3.3,3.3,3.3,3.3,3.3,6.7,,6.7,6.7,6.7,6.7,6.7,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,22.0,,22,22,22.0,22.0,22.0,2.0,,2,2,2.0,2.0,2.0
Ecuador,6.3,,6.3,6.3,6.3,6.3,6.3,5.2,,5.2,5.2,5.2,5.2,5.2,5.0,,5,5,5.0,5.0,5.0,9.0,,9,9,9.0,9.0,9.0,19.0,,19,19,19.0,19.0,19.0,4.0,,4,4,4.0,4.0,4.0
Hungary,4.2,,4.2,4.2,4.2,4.2,4.2,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Czech Republic,6.1,,6.1,6.1,6.1,6.1,6.1,5.2,,5.2,5.2,5.2,5.2,5.2,4.0,,4,4,4.0,4.0,4.0,9.0,,9,9,9.0,9.0,9.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Slovakia,2.3,,2.3,2.3,2.3,2.3,2.3,7.4,,7.4,7.4,7.4,7.4,7.4,8.0,,8,8,8.0,8.0,8.0,3.0,,3,3,3.0,3.0,3.0,23.0,,23,23,23.0,23.0,23.0,1.0,,1,1,1.0,1.0,1.0
Croatia,4.8,,4.8,4.8,4.8,4.8,4.8,5.8,,5.8,5.8,5.8,5.8,5.8,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,21.0,,21,21,21.0,21.0,21.0,3.0,,3,3,3.0,3.0,3.0
Serbia,3.9,,3.9,3.9,3.9,3.9,3.9,6.5,,6.5,6.5,6.5,6.5,6.5,7.0,,7,7,7.0,7.0,7.0,6.0,,6,6,6.0,6.0,6.0,20.0,,20,20,20.0,20.0,20.0,2.0,,2,2,2.0,2.0,2.0
Slovenia,5.7,,5.7,5.7,5.7,5.7,5.7,5.4,,5.4,5.4,5.4,5.4,5.4,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,19.0,,19,19,19.0,19.0,19.0,4.0,,4,4,4.0,4.0,4.0
Bulgaria,2.8,,2.8,2.8,2.8,2.8,2.8,7.2,,7.2,7.2,7.2,7.2,7.2,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,22.0,,22,22,22.0,22.0,22.0,1.0,,1,1,1.0,1.0,1.0
Estonia,4.5,,4.5,4.5,4.5,4.5,4.5,5.9,,5.9,5.9,5.9,5.9,5.9,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Latvia,5.4,,5.4,5.4,5.4,5.4,5.4,5.5,,5.5,5.5,5.5,5.5,5.5,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Lithuania,3.2,,3.2,3.2,3.2,3.2,3.2,6.8,,6.8,6.8,6.8,6.8,6.8,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,21.0,,21,21,21.0,21.0,21.0,2.0,,2,2,2.0,2.0,2.0
