,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Age,Age,Age,Age,Age,Age,Age,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media
,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75,mean,std,min,max,median,q25,q75
Most_Used_Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,4.872,1.238,2.2,8.5,4.7,4.0,5.7,7.021,1.18,3.8,9.6,7.1,6.1,7.9,6.124,1.173,4,8,6.0,5.0,7.0,6.554,1.537,4,9,7.0,5.0,8.0,20.169,1.203,18,24,20.0,19.0,21.0,2.94,0.857,1,5,3.0,2.0,3.0
TikTok,5.346,1.053,3.3,8.4,5.3,4.6,5.975,6.363,1.131,3.9,8.6,6.3,5.5,7.2,5.714,0.798,4,8,6.0,5.0,6.0,7.429,1.041,4,9,8.0,7.0,8.0,20.416,1.371,18,24,20.0,19.0,21.75,3.409,0.682,1,5,3.0,3.0,4.0
Facebook,4.507,1.11,2.3,7.2,4.5,3.7,5.0,7.36,0.989,4.7,9.5,7.3,6.6,8.1,6.715,1.028,4,8,7.0,6.0,7.0,5.667,1.435,4,9,5.0,5.0,7.0,21.325,1.163,19,24,21.0,21.0,22.0,2.431,0.915,1,5,2.0,2.0,3.0
WhatsApp,6.476,0.587,5.5,7.5,6.45,6.0,7.0,5.87,0.561,4.8,6.9,5.9,5.425,6.3,5.537,0.503,5,6,6.0,5.0,6.0,7.463,0.503,7,8,7.0,7.0,8.0,21.037,1.027,19,22,21.0,21.0,22.0,3.463,0.503,3,4,3.0,3.0,4.0
Twitter,4.87,0.874,2.1,6.3,4.65,4.4,5.475,7.107,0.445,6.2,7.8,7.3,6.8,7.475,6.833,1.053,5,8,7.0,6.0,8.0,5.5,1.548,3,8,5.0,4.0,7.0,21.667,1.768,19,24,22.0,20.0,23.0,2.433,0.858,0,4,2.0,2.0,3.0
LinkedIn,2.519,0.34,1.5,3.0,2.6,2.4,2.8,7.286,0.237,7.0,8.0,7.2,7.2,7.3,8.0,0.316,7,9,8.0,8.0,8.0,3.81,0.602,2,5,4.0,4.0,4.0,22.857,0.793,21,24,23.0,22.0,23.0,0.905,0.436,0,2,1.0,1.0,1.0
WeChat,4.96,0.753,3.9,5.8,5.5,4.25,5.6,7.36,0.734,6.5,8.4,6.8,6.7,8.05,6.467,0.516,6,7,6.0,6.0,7.0,6.067,1.033,5,7,7.0,5.0,7.0,21.533,1.407,19,24,22.0,21.0,22.0,2.533,0.516,2,3,3.0,2.0,3.0
Snapchat,5.092,0.658,3.7,6.1,4.9,4.7,5.6,5.708,0.375,5.2,6.5,5.7,5.5,5.9,5.538,0.776,4,7,6.0,5.0,6.0,7.462,0.776,6,9,7.0,7.0,8.0,19.462,1.127,18,21,20.0,18.0,20.0,3.231,0.725,2,4,3.0,3.0,4.0
VKontakte,4.25,0.361,3.7,4.8,4.25,3.975,4.525,7.75,0.361,7.2,8.3,7.75,7.475,8.025,7.0,0.0,7,7,7.0,7.0,7.0,5.0,0.0,5,5,5.0,5.0,5.0,22.0,0.0,22,22,22.0,22.0,22.0,2.0,0.0,2,2,2.0,2.0,2.0
LINE,3.25,0.361,2.7,3.8,3.25,2.975,3.525,8.35,0.361,7.8,8.9,8.35,8.075,8.625,8.0,0.0,8,8,8.0,8.0,8.0,3.0,0.0,3,3,3.0,3.0,3.0,19.0,0.0,19,19,19.0,19.0,19.0,1.0,0.0,1,1,1.0,1.0,1.0
KakaoTalk,4.725,0.328,4.2,5.2,4.75,4.475,5.0,7.05,0.361,6.5,7.6,7.05,6.775,7.325,6.0,0.0,6,6,6.0,6.0,6.0,6.0,0.0,6,6,6.0,6.0,6.0,20.0,0.0,20,20,20.0,20.0,20.0,3.0,0.0,3,3,3.0,3.0,3.0
YouTube,4.08,0.75,3.0,5.8,3.85,3.8,4.275,6.35,0.521,5.2,7.0,6.5,6.1,6.6,6.6,0.699,5,7,7.0,6.25,7.0,6.1,1.37,4,9,6.0,5.25,6.75,20.2,1.033,18,21,20.5,20.0,21.0,2.2,0.919,1,4,2.0,2.0,2.75
